Clase 1	https://youtu.be/_0V7PnEcveA	"Introducción a Xcode, Primeros pasos
Primera App, Marimba App ,Reproducir sonido 
AVFoundation,  Uso de stackviews, Uso de UIVIews
Minipoker, Arreglos, Opcionales
Extracción forzada, Generar un num aleatorio"	18 marzo
Clase 2	https://youtu.be/OPwsvkunP2A	"-Unwind segue -Envío de parámetros
-UIImage -Arreglos
-Ciclo de vida de una app en iOS
-Autolayout -UISlider -Calculadora IMC -MVC"	25 marzo

Clase 3	https://youtu.be/DjjvfUGU_EU	"UITableView, Structs, Arreglos,
Multisection en un UITableView,
Consumo de API, JSONDecoder, URLSession, 
Constraints, Autolayout, "	01 abril
Clase 4	https://youtu.be/d2j7Dlkok_8	"UITextFieldDelegate, CoreLocation, GPS en el simulador
MapkitView, Mostrando lugares en Mapa, Annotations,
Trazado de ruta, mostrando lugares cercano, TabBarController"	15 abril
Clase 5	https://youtu.be/DIT_a5ehJ4M	Quizz App con MVC, ProgressView, structs, Core Data, App Contactos Parte 1, struct vs class	22 abril

Clase 6	https://youtu.be/rFmK7qaBo20
Clase 7	https://youtu.be/fiuXpdq_56E
Clase 8	https://www.youtube.com/watch?v=lvI8cgIvvhQ
Clase 9	https://youtu.be/lnofrnqmi2o
Clase 10 https://youtu.be/1tfYFsVEZPc
Clase 11 https://youtube/a-XfRGZj3Fc
Clase 12 https://www.youtube.com/watch?v=Iyz7swBLQ30
Clase 13 https://www.youtube.com/watch?v=t0I27VaukaI
Clase 14 https://www.youtube.com/watch?v=owsMksC_aVM
Clase 15 https://www.youtube.com/watch?v=dwp8gvXoJ-c
Clase 16 https://www.youtube.com/watch?v=tFkaoaO_riE
Clase 17 https://www.youtube.com/watch?v=PJa_PVoFZw0
